ClusterID;Cluster mnemonic;Cluster size;Paper ID;Title;Authors;Institutions;Page count;Reviewer names;Additional papers in the cluster;Source;Snowballing round;Collaboration subject;Notes about M1/M2 (private attribute);Editor type flexibility/agility;Tool support - CLIENT;Client type;View support;Multi-views;Language-specific;Modeling framework;UML diagrams;System domain;System domain type;System parts;Language(s) custo- mization support;Validation support;Reuse support;Roles;Collaborating parties;Collaboration types;Collaboration workflow;Consistency model;Unit of sync;Locking;Versioning support;VCS architecture;External VCS means;Branching;Model merging support;Diff/merge domain;Conflict mgmt approach;Conflict detection;Conflict awareness (User);Conflict resolution support;Shared workspace;Network architecture;Communication type;Communication means - builtin;Communication means - external;Communication means - mixed;Communication means links;Design decision: discussion;Design decision: session history;Stakeholder types;Approach-specific stakeholders;Workspace awareness;Workspace awareness score;Limitations and challenges;Future work;Keywords;Venue;Venue (complete name);Year;Publisher;Publication type;Citations (Google scholar);References;Collaboration goals;Modeling purposes;Prescribed SE activities;Evaluation;Readiness level (value);Readiness level (range);Tool availability;Quality of the research;Notes;;;;;;;;;;;;;;;;;;;;
C15;CollaborativeCTT;1;S27;Collaborative Task Modelling on the Web;Manca M, Paterno F, Santoro C;CNR-ISTI;18;Kousar, Sogol;-;;1;M1;;GRA;RTU;BROWSER;PROJECTIVE;MULTI-USER SINGLE-VIEW;NO;Collaborative CTT;N/A;Generic ;Generic;Generic;NO;NO;;Admin, Reader, User ;HUMAN-HUMAN;REAL-TIME;NO;STRONG EVENTUAL;STATE;PESSIMISTIC: partLock;NO;N/A;N/A;NO;NO;SYNTACTIC;PREVENTIVE;NO;NO;NO;REMOTE;CENTRALIZED: SINGLE SERVER;SYNCHRONOUS;Chat, CallForAttention, Voting;Email, Hyperlinks;NO;"Chat, 
CallForAttention, 
Voting";Chat;NO;Tech, NonTech;NonTech, Developer, Designer, modeling expert, User, model-engineer;HSE, Lock, Ntf, Over, Pointers;Med;improvements needed on the usability side of the tool;further empirical testing in both educational and industrial projects;Task modes, Collaborative modeling, Responsive Web;HCSE 2016/HESSD 2016;Human-Centered and Error-Resilient Systems;2016;Springer;C;3;26;to specify task models supporting coordination, communication and mutual awareness among oparticipants;NFR, Learning, ;;VAL_EXP;;;NO;5.0;limitations not discussed explicitly;;;;;;;;;;;;;;;;;;;;
C16;TestMEReq;1;S35;An Automated Collaborative Requirements Engineering Tool for Better Validation of Requirements;Moketar NA, Kamalrudin M, Sidek S, Robinson M, Grundy J;Universiti Teknikal Malaysia Melaka, Fulgent Corporation, Deakin University;6;Istvan;-;;1;M1;;TAB, TEX;RTU;DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;Custom;N/A;Generic;Generic;Generic;NO;NO;;Requirements engineer, user;HUMAN-HUMAN;REAL-TIME;NO;STRONG EVENTUAL;CHANGE;NO;NO;N/A;N/A;NO;NO;N/A;NO;NO;WARNING;MANUAL;REMOTE;CENTRALIZED: SINGLE SERVER;SYNCHRONOUS;Chat, Comments, Notes, Annotations;NO;NO;Comments, Notes, Annotations;Chat, Comments;Chat, Comments, Annotations;Tech, NonTech;Requirements engineer, end-user;UpEd, HSE, Colors, Users;High;unclear;"industrial evaluation; embedding a requirement prioritization method; better graphical annotation for making comments; supporting testers with test plan generation in spreadsheets";requirements engineering, requirements validation;ASE;IEEE/ACM International Conference on Automated Software Engineering;2016;ACM;C;14;12;to promote effective communication and collaboration between client stakeholders and requirements engineers for better requirements validation;Essential Use Cases (EUC) and Essential User Interface (EUI) models for generating abstract test cases;;VAL_EXP;;;YES;3.5;VAL_EXP: proto + academic case study with students. This seems to be a tool paper, and as such, it is limited in its standalone quality. Very good communication facilities. SEC text editing ensures collaboration over textual semi-formal models.;;;;;;;;;;;;;;;;;;;;
C17;Articulation;1;S54;Articulation of work process models for organizational alignment and informed information system design;Oppl S;Johannes Kepler University of Linz;18;Kousar;-;;1;M1;;GRA;NO;DESKTOP;SYNTHETIC;SINGLE-VIEW MULTI-MODEL;NO;BPMS;N/A;Specific;Business applications;Business logic;NO;NO;;Admin ;HUMAN-HUMAN;REAL-TIME;NO;EVENTUAL;STATE;NO;NO;N/A;N/A;NO;NO;SEMANTIC;ALLOW&RESOLVE;NO;NO;MANUAL;SamePlace;MIXED;ASYNCHRONOUS;CallForAttention;Face-to-Face;NO;Face-to-Face;Face-to-Face;NO;Tech, NonTech;NonTech, domain (process) expert, business domain expert;No;Low;"single case study; limited research on resolution of conflicting viewpoints; deals with single work processes";diverse empirical validation in different organizations, ;Collaborative articulation of work, Comceptual model of communication and work processes, Domain expert-driven modeling, Bottom-up organizational development;Information & Management;Information & Management;2016;Elsevier;J;9;73;articulation of work processes by inexperienced modelers;Business, ModelTrans, BusinessProcessAnls;;VALI;;;NO;6.0;;;;;;;;;;;;;;;;;;;;;
C18;Sunye;1;S29;Model Consistency for Distributed Collaborative Modeling;Sunye G;AtlanMod, University of Nantes;16;Kousar;-;;1;M1;;NO;RTU;DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;EMF;N/A;Generic;Generic;Generic;NO;rules;;Modeler;HUMAN-HUMAN;REAL-TIME;NO;STRONG EVENTUAL;STATE;NO;NO;N/A;N/A;NO;NO;SYNTACTIC;PREVENTIVE;YES: INCREMENTAL;NO;SEMIAUTOMATED;REMOTE;P2P;ASYNCHRONOUS;CallForAttention;NO;NO;NO;NO;NO;Tech;Modeler;No;Med;"approach does not show security of system; scalability issues; does not consider some syntax rules specific to modeling languages.";"integration of approach into existing modeling tools; evaluation of approach when performing complex sequence of changes. ";;ECMFA;European Conference on Modeling Foundations and Applications;2017;Springer;C;4;31;to provide modeling tool which is distributed, reactive and synchronous in collaborative environment;Generic;;VALI;;;YES;5.5;Not rigorous validation, only running example. ;;;;;;;;;;;;;;;;;;;;
C28;Aydemir;1;S55;Supporting Collaborative Modeling via Natural Language Processing;Aydemir FB, Dalpiaz F;Bogazici University, Utrecht University;16;Kousar;-;;2;M1;;NO;RTU;BROWSER;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;NO;PACAS;N/A;Generic;Generic;Generic;NO;rules;;Modeler;HUMAN-HUMAN;OFF-LINE MANUAL CHANGE PROPAGATION;YES;EVENTUAL;STATE;NO;NO;N/A;N/A;NO;NO;N/A;NO;NO;NO;NO;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Feedback;NO;NO;NO;NO;NO;Tech, NonTech;Modeler;No;Low;limited validation;designing experiments where modelers can give suggestions while modeling;Collaborative modeling, Conceptual modeling, Natural language processing, Semantic similarity;;International Conference on Conceptual Modeling;2020;Springer;C;0;34;to give suggestions to modelers using natural language processing about conceptual terms;Generic;;VALI;;;NO;5.0;"-0.5 no rigorous validation
-0.5 limitations unclear 
";;;;;;;;;;;;;;;;;;;;
C29;Horvath;1;S56;Towards the Next Generation of Reactive Model Transformations on Low-Code Platforms: Three Research Lines;Horvath B, Horvath A, Wimmer M;IncQuery Labs, Johannes Kepler University of Linz;10;Istvan;-;;2;M1, M2;;TEX;NO;BROWSER;SYNTHETIC;MULTI-VIEW MULTI-MODEL;NO;VIATRA;N/A;Generic;Generic;Back-end;NO;rules;;Modeler, transformation developer;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;NO;STRONG;CHANGE;NO;EXTERNAL: MODELS;Centralized;Custom model repo;NO;NO;SYNTACTIC;NO;YES: INCREMENTAL;NO;NO;REMOTE;CENTRALIZED: MULTIPLE SERVERS;ASYNCHRONOUS;NO;NO;NO;NO;NO;NO;Tech;Developer, Transformation developer, modeler;VCS;Low;This is a proof-of-concept;Incorporating the concepts into the IncQuery Server;multi-tenant, model transformations, transformation development, low-code platforms;LowCode Workshop at MODELS 2020;MODELS ?20 Companion Proceedings -- LowCode Workshop at MODELS 2020;2020;ACM/IEEE;W;0;50;Collaborative model transformation development;Transformations;;NO;;;YES;1.5;This is an early work in progress. The collaboration is indirect, and it's more like the dual of collaboration: I'd say it's implicit alignment of parallel engineering;;;;;;;;;;;;;;;;;;;;
C30;Neto;1;S65;Supporting collaborative modelling in UML class diagrams;Neto RAC, Farias K, Bischo V, Goncales LJ;University of Vale do Rio dos Sinos;8;Istvan, Sogol;-;;2;M1;;GRA;RTU;BROWSER;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;UML;Class diagram;Generic;Generic;Generic;NO;NO;;Modeler;HUMAN-HUMAN;REAL-TIME;NO;STRONG;STATE;NO;NO;N/A;N/A;NO;NO;SYNTACTIC;ALLOW&RESOLVE;NO;NO;NO;SamePlace;CENTRALIZED: SINGLE SERVER;SYNCHRONOUS;Chat, audio;NO;NO;NO;Chat;NO;Tech;NO;Pointers, Over, Dashboard;High;limited evaluation of effectiveness of the tool.;Testing the effectiveness of the proposed tool. Experiments to test the precision, and recall in relation to state-of-the art tools.;class diagrams, uml, web-based;RBCA;Revista Brasileira de Computacao Aplicada;2019;UPF;J;0;21;Collaborative design via Class Diagrams;Generic-purpose modeling;;EVAL;;;YES;2.0;EVAL: Controlled experiment with practitioners. The actual collaborative mechanisms not discussed at all. Limitations not discussed.;;;;;;;;;;;;;;;;;;;;
C8;AToMPM;1;S23;Evaluating the Cloud Architecture of AToMPM;Corley J, Syriani E, Ergin H;University of Alabama, University of Montreal;8;Eugene;-;;;M1, M2, M3;AToMPM is bootstrapped, so any modeling level can be manipulated, thus support collaboration;GRA;RTU;BROWSER;PROJECTIVE;MULTI-USER SINGLE-VIEW, MULTI-VIEW SINGLE-MODEL;NO;AToMPM;N/A;Generic;Generic;Generic;import;rules, constraints;;User;HUMAN-HUMAN;REAL-TIME;YES;STRONG;CHANGE;NO;NO;N/A;N/A;NO;NO;SYNTACTIC;NO;NO;NO;MANUAL;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Chat;Email;Email;NO;NO;NO;Tech, NonTech;NO;UpEd;Low;aAcademic level, work on scaleability;integrate offline collaboration, integrate inconsistency tolerance, conflict management and resolution;Multi-view, Multi-user, Collaboration, Architecture, Volume Testing, Stress Testing;MODELSWARD;International Conference on Model-Driven Engineering and Software Development;2016;SCITEPRESS;C;5;15;Modeling as a service for multi-user, multi-view modeling storage and processing capability to any connected client;Generic-purpose modeling;;EVAL, VAL_EXP;;;YES;5.5;This paper focuses mostly on the evaluation of the architecture. Needed to look at the other papers in the cluster to answer some of the categories.;;;;;;;;;;;;;;;;;;;;
C20;FlexiSketch;1;S32;FlexiSketch: a lightweight sketching and metamodeling approach for end-users;Wuest D, Seyff N, Glinz M;University of Zurich, FHNW;29;Istvan;-;;1;M1, M2;M1 and M2 are developed simultanously, and by every participant;SKE, GRA;INS;MOBILE, DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;Custom;N/A;Generic;Generic;Generic;NO;Critics;;Software engineer, modeler;HUMAN-HUMAN;REAL-TIME;NO;STRONG;STATE;PESSIMISTIC: partLock;NO;N/A;N/A;NO;YES;SYNTACTIC;PREVENTIVE;YES;NO;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Feedback;Email, Face-to-face;NO;NO;Email, face-to-face;NO;Tech, NonTech;NO;UpEd, HSE, Lock;High;FlexiSketch fills a gap between flexible sketching tools with limited formalization capabilities and sophisticated metamodeling tools for language experts.;Providing guidance to novice modelers. Performing longitudinal evaluations in real sw projects and follow-up how sketches are created and maintained throughout the project.;free-hand, meta-modeling, modeling, multi-level modeling;SoSyM;Software & Systems Modeling;2017;Springer;J;15;63;D1. All meeting participants should be able to edit the workspace simultaneously. D2. A tool should prevent conflicting inputs from multiple participants. D3. A tool should provide both shared and private views. D4. All participants should immediately receive the results of a design session. D5. The tool should increase the awareness of each other?s actions.;Generic-purpose modeling via freehand drawing. M(i) and M(i+1) are developed at the same time: as the user draws instances, also defines types;;EVAL, VAL_EXP;;;YES;5.5;"EVAL: Controlled experiment with practitioners; VAL_EXP: proto + experiment with students. Limitations implicitly discussed.";;;;;;;;;;;;;;;;;;;;
C21;WebGME;4;S46;MiW: A domain specific modeling environment for complex molecular systems;Ma T, Sallai J;Vanderbilt University;10;Istvan;S40, S41, S45;;1;M1, M2;;TEX, GRA, TREE;RTU;BROWSER;PROJECTIVE;MULTI-VIEW MULTI-MODEL;NO;WebGME;N/A;Generic;Large-scale;Generic;NO;NO;;Modeler;HUMAN-HUMAN;REAL-TIME;NO;EVENTUAL;CHANGE;NO;INTERNAL: MODELS;Centralized;N/A;MULTI-BRANCHING;NO;SYNTACTIC;ALLOW&RESOLVE;YES;PROMPT ACTION;MANUAL;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;NO;NO;NO;NO;NO;NO;Tech;NO;UpEd, Ntf;Low;The two most significant missing pieces are merge support for branches and a constraint manager. The merge operation is critical to enable other modes of collaboration beyond immediate concurrent updates. Constraints also play an important role in DSMLs. GME has an OCL- based constraint manager which proved very useful for people who were willing to learn OCL, but were ignored by most users. What constraint language WebGME will ultimately utilize is still up for debate.;WebGME will also support merging branches. This will allow for an additional kind of collaboration where users fork the project, work on their own branches and once they are ready with their modifications, merge the changes back into the master branch. ;DSML, metamodel, collaboration, web browser;ICCS;International Conference on Computational Science;2017;Elsevier;C;2;18;the number of users and stakeholders spread across multiple institutions increase, the coordination of the modeling process becomes exponentially more difficult;Moleclar system modeling and analysis;;EVAL;;;YES;5.5;EVAL: Industrial case study;;;;;;;;;;;;;;;;;;;;
